US02,AK
US01,AL
US05,AR
US60,AS
US04,AZ
US06,CA
US08,CO
US09,CT
US11,DC
US10,DE
US12,FL
US13,GA
US66,GU
US15,HI
US19,IA
US16,ID
US17,IL
US18,IN
US20,KS
US21,KY
US22,LA
US25,MA
US24,MD
US23,ME
US26,MI
US27,MN
US29,MO
US28,MS
US30,MT
US37,NC
US38,ND
US31,NE
US33,NH
US34,NJ
US35,NM
US32,NV
US36,NY
US39,OH
US40,OK
US41,OR
US42,PA
US72,PR
US44,RI
US45,SC
US46,SD
US47,TN
US48,TX
US49,UT
US51,VA
US78,VI
US50,VT
US53,WA
US55,WI
US54,WV
US56,WY
CA10,NF
CA11,IPE
CA12,NS
CA13,NB
CA24,PQ
CA35,ON
CA46,MB
CA47,SK
CA48,AB
CA59,BC
CA60,YT
CA61,NT
CA62,NV
02,AK
01,AL
05,AR
60,AS
04,AZ
06,CA
08,CO
09,CT
11,DC
10,DE
12,FL
13,GA
66,GU
15,HI
19,IA
16,ID
17,IL
18,IN
20,KS
21,KY
22,LA
25,MA
24,MD
23,ME
26,MI
27,MN
29,MO
28,MS
30,MT
37,NC
38,ND
31,NE
33,NH
34,NJ
35,NM
32,NV
36,NY
39,OH
40,OK
41,OR
42,PA
72,PR
44,RI
45,SC
46,SD
47,TN
48,TX
49,UT
51,VA
78,VI
50,VT
53,WA
55,WI
54,WV
56,WY
10,NF
11,IPE
12,NS
13,NB
24,PQ
35,ON
46,MB
47,SK
48,AB
59,BC
60,YT
61,NT
62,NV
