ACCES,ACC
ACCESS,ACC
ACRES,ACRS
ALLEE,ALL
ALLEY,ALY
ALLY,ALY
ALL…E,ALL
ALLÈE,ALL
ANEX,ANX
ANNEX,ANX
ANNX,ANX
APPROACH,APPR
ARCADE,ARC
AUT,AU
AUTOROUTE,AU
AV,AVE
AVEN,AVE
AVENU,AVE
AVENUE,AVE
AVN,AVE
AVNUE,AVE
BAY,BAY
BAYOO,BYU
BAYOU,BYU
BEACH,BCH
BEND,BND
BL,BLVD
BLUF,BLF
BLUFF,BLF
BLUFFS,BLFS
BLV,BLVD
BOT,BTM
BOTTM,BTM
BOTTOM,BTM
BOUL,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BRANCH,BR
BRDGE,BRG
BRID,BRG
BRIDGE,BRG
BRNCH,BR
BROOK,BRK
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYPA,BYP
BYPAS,BYP
BYPASS,BYP
BYPS,BYP
CALLE,C
CAMP,CP
CANYN,CYN
CANYON,CYN
CAPE,CPE
CARRE,CAR
CARR…,CAR
CARRÈ,CAR
CAUSEWAY,CSWY
CAUSWAY,CSWY
CEN,CTR
CENT,CTR
CENTER,CTR
CENTERS,CTRS
CENTR,CTR
CENTRE,CTR
CERCLE,CERCLE
CHASE,CHAS
CHEMIN,CH
CI,CIR
CIRC,CIR
CIRCL,CIR
CIRCLE,CIR
CIRCLES,CIRS
CIRCUIT,CCT
CLIFF,CLF
CLIFFS,CLFS
CLOSE,CLOS
CLUB,CLB
CMP,CP
CNTER,CTR
CNTR,CTR
CNYN,CYN
COMMON,CMN
COMMONS,CMNS
CONCESSION,CONC
CORNER,COR
CORNERS,CORS
COTE,CO
COURSE,CRSE
COURT,CT
COURTS,CTS
COVE,CV
COVES,CVS
CRCL,CIR
CRCLE,CIR
CREEK,CRK
CRESCENT,CRES
CREST,CRST
CROIS,CR
CROISSANT,CR
CROSSING,XING
CROSSROAD,XRD
CROSSROADS,XRDS
CRSENT,CRES
CRSNT,CRES
CRSSNG,XING
CRT,CT
CUL-DE-SAC,CDS
CURVE,CURV
C‘TE,CO
DALE,DL
DAM,DM
DIV,DV
DIVIDE,DV
DOMAINE,DOM
DOWNS,DWNS
DRIV,DR
DRIVE,DR
DRIVES,DRS
DRIVEWAY,DRWY
DRV,DR
DVD,DV
ECHANGEUR,ECH
ESTATE,EST
ESTATES,ESTS
EXP,EXPY
EXPR,EXPY
EXPRESS,EXPY
EXPRESSWA,EXPY
EXPRESSWAY,EXPY
EXPW,EXPY
EXTENSION,EXT
EXTENSIONS,EXTS
EXTN,EXT
EXTNSN,EXT
FALLS,FLS
FERRY,FRY
FIELD,FLD
FIELDS,FLDS
FLAT,FLT
FLATS,FLTS
FORD,FRD
FORDS,FRDS
FOREST,FRST
FORESTS,FRST
FORG,FRG
FORGE,FRG
FORGES,FRGS
FORK,FRK
FORKS,FRKS
FORT,FT
FREEWAY,FWY
FREEWY,FWY
FRRY,FRY
FRT,FT
FRWAY,FWY
FRWY,FWY
GARDEN,GDN
GARDENS,GDNS
GARDN,GDN
GATEWAY,GTWY
GATEWY,GTWY
GATWAY,GTWY
GLEN,GLN
GLENS,GLNS
GRDEN,GDN
GRDN,GDN
GRDNS,GDNS
GREEN,GRN
GREENS,GRNS
GROV,GRV
GROVE,GRV
GROVES,GRVS
GTWAY,GTWY
HARB,HBR
HARBOR,HBR
HARBORS,HBRS
HARBOUR,HRBR
HARBR,HBR
HAVEN,HVN
HEIGHTS,HTS
HIGHWAY,HWY
HIGHWY,HWY
HILL,HL
HILLS,HLS
HIWAY,HWY
HIWY,HWY
HLLW,HOLW
HOLLOW,HOLW
HOLLOWS,HOLW
HOLWS,HOLW
HRBOR,HBR
HT,HTS
HW,HWY
HWAY,HWY
IMPASSE,IMP
INLET,INLT
ISLAND,IS
ISLANDS,ISS
ISLE,ISS
ISLES,ISLE
ISLND,ISS
ISLNDS,ISS
JCTION,JCT
JCTN,JCT
JCTNS,JCTS
JONCTION,JCT
JUNCTION,JCT
JUNCTIONS,JCTS
JUNCTN,JCT
JUNCTON,JCT
KEY,KY
KEYS,KYS
KNOL,KNL
KNOLL,KNL
KNOLLS,KNLS
LAKE,LK
LAKES,LKS
LANDING,LNDG
LANE,LN
LDGE,LDG
LIGHT,LGT
LIGHTS,LGTS
LIGNE,LIGNE
LINE,LINE
LNDNG,LNDG
LOAF,LF
LOCK,LCK
LOCKS,LCKS
LODG,LDG
LODGE,LDG
LOOPS,LOOP
MANOR,MNR
MANORS,MNRS
MDOW,MDW
MEADOW,MDW
MEADOWS,MDWS
MEDOWS,MDWS
MEWS,ML
MILL,MLS
MILLS,MLS
MISSION,MSN
MISSN,MSN
MNT,MT
MNTAIN,MTN
MNTN,MTN
MNTNS,MTNS
MONTEE,MTEE
MONT…E,MTEE
MOTORWAY,MTWY
MOUNT,MT
MOUNTAIN,MTN
MOUNTAINS,MTNS
MOUNTIN,MTN
MSSN,MSN
MTIN,MTN
NECK,NCK
ORCHARD,ORCH
ORCHRD,ORCH
OVERPASS,OPAS
OVL,OVAL
PARC,PARC
PARKS,PARK
PARKWAY,PKWY
PARKWAYS,PKWY
PARKWY,PKWY
PASSAGE,PSGE
PATHS,PATH
PIKES,PIKE
PINE,PNE
PINES,PNES
PKWAY,PKWY
PKWYS,PKWY
PKY,PKWY
PLACE,PL
PLAIN,PLN
PLAINS,PLNS
PLATEAU,PLAT
PLAZA,PLZ
PLZA,PLZ
POINT,PT
POINTE,PT
POINTS,PTS
PONT,PONT
PORT,PRT
PORTS,PRTS
PRAIRIE,PR
PRK,PARK
PROMENADE,PROM
PRR,PR
PW,PKWY
QUAI,QUAI
QUAY,QUAY
RAD,RADL
RADIAL,RADL
RADIEL,RADL
RANCH,RNCH
RANCHES,RNCH
RANG,RG
RANGE ROAD,RGE
RAPID,RPD
RAPIDS,RPDS
RDGE,RDG
REST,RST
RIDGE,RDG
RIDGES,RDGS
RIVER,RIV
RIVR,RIV
RNCHS,RPD
ROAD,RD
ROADS,RDS
ROUTE,RTE
RT,RTE
RU,RUE
RUELLE,RUELLE
RVR,RIV
SENTIER,SENT
SHOAL,SHL
SHOALS,SHL
SHOAR,SHR
SHOARS,SHRS
SHORE,SHR
SHORES,SHRS
SKYWAY,SKWY
SPNG,SPG
SPNGS,SPGS
SPRING,SPG
SPRINGS,SPGS
SPRNG,SPG
SPRNGS,SPGS
SPURS,SPUR
SQR,SQ
SQRE,SQ
SQRS,SQS
SQU,SQ
SQUARE,SQ
SQUARES,SQS
STATION,STA
STATN,STA
STN,STA
STR,ST
STRA,STA
STRAV,STRA
STRAVEN,STRA
STRAVENUE,STRA
STRAVN,STRA
STREAM,STRM
STREET,ST
STREETS,STS
STREME,STRM
STRET,ST
STRT,ST
STRVN,STRA
STRVNUE,STRA
SUMIT,SMT
SUMITT,SMT
SUMMIT,TER
TE,TER
TERR,TER
TERRACE,TER
TERRASSE,TSSE
THROUGHWA,THWY
THROUGHWAY,TRWY
TOWERS,TWRS
TOWNSHIP ROAD,TWP
TP,TPKE
TRACE,TRCE
TRACES,TRCE
TRACK,TRAK
TRACKS,TRAK
TRAFFICWAY,TRFY
TRAIL,TRL
TRAILER,TRLR
TRAILS,TRL
TRAVERSE,TRAV
TRK,TRAK
TRKS,TRAK
TRLRS,TRLR
TRLS,TRL
TRNPK,TPKE
TUNEL,TUNL
TUNLS,TUNL
TUNNEL,TUNL
TUNNELS,TUNL
TUNNL,TUNL
TURNPIKE,TPKE
TURNPK,TPKE
UNDERPASS,UPAS
UNION,UN
UNIONS,UNS
VALLEY,VLY
VALLEYS,VLYS
VALLY,VLY
VDCT,VIA
VIAD,VIA
VIADCT,VIA
VIADUCT,VIA
VIEW,VW
VIEWS,VWS
VILL,VLG
VILLAG,VLG
VILLAGE,VLG
VILLAGES,VLGS
VILLE,VL
VILLG,VLG
VILLIAGE,VLG
VIST,VIS
VISTA,VIS
VLLY,VLY
VOIE,VOIE
VST,VIS
VSTA,VIS
WALKS,WALK
WELL,WL
WELLS,WLS
WHARF,WHRF
WOODS,WOODS
WY,WAY
…CHANGEUR,…CH
